id;correct;text;memo;group_position
1;true;4f6b6c61686f6d6120636f6d6d756e6974696573;array supply-chains Advanced;40520
2;false;48616e646d61646520576f6f64656e20436865657365204672657368;input Naira;23750
3;true;67726f77206173796d6d6574726963;Cyprus web services auxiliary;97790
4;true;496e6372656469626c652046726573682043617220547576616c75;Senior Optional Yemeni Rial;7543
5;true;536176696e6773204163636f756e74;heuristic Orchestrator Naira;38420
6;true;556e6272616e64656420506c6173746963204368697073204272616e6420526567696f6e616c;Generic B2B;16967
7;false;4a756e6374696f6e73206f6e652d746f2d6f6e65;analyzing holistic;25994
8;true;4b77616e7a612046616c6b6c616e642049736c616e647320284d616c76696e617329;schemas;60278
9;true;4b6579626f617264;Licensed Usability models;58116
10;true;6d61726b657473204163636f756e746162696c69747920455845;Chair;41125
